mag_threshold,time_window_days,spatial_radius_km,positive_rate_%,positive_count,total_count
5.0,7,25,8.58966310943712,821,9558
5.0,7,50,19.418288344842015,1856,9558
5.0,7,75,28.468298807281855,2721,9558
5.0,7,100,35.049173467252565,3350,9558
5.0,14,25,8.662900188323917,828,9558
5.0,14,50,19.575224942456583,1871,9558
5.0,14,75,28.625235404896422,2736,9558
5.0,14,100,35.195647625026155,3364,9558
5.0,30,25,8.662900188323917,828,9558
5.0,30,50,19.575224942456583,1871,9558
5.0,30,75,28.625235404896422,2736,9558
5.0,30,100,35.195647625026155,3364,9558
5.0,45,25,8.662900188323917,828,9558
5.0,45,50,19.575224942456583,1871,9558
5.0,45,75,28.625235404896422,2736,9558
5.0,45,100,35.195647625026155,3364,9558
5.0,60,25,8.662900188323917,828,9558
5.0,60,50,19.575224942456583,1871,9558
5.0,60,75,28.625235404896422,2736,9558
5.0,60,100,35.195647625026155,3364,9558
5.3,7,25,4.540698890981377,434,9558
5.3,7,50,10.52521448001674,1006,9558
5.3,7,75,16.499267629211133,1577,9558
5.3,7,100,22.379158819836785,2139,9558
5.3,14,25,4.58254865034526,438,9558
5.3,14,50,10.682151077631303,1021,9558
5.3,14,75,16.760828625235405,1602,9558
5.3,14,100,22.682569575224942,2168,9558
5.3,30,25,4.58254865034526,438,9558
5.3,30,50,10.682151077631303,1021,9558
5.3,30,75,16.760828625235405,1602,9558
5.3,30,100,22.682569575224942,2168,9558
5.3,45,25,4.58254865034526,438,9558
5.3,45,50,10.682151077631303,1021,9558
5.3,45,75,16.760828625235405,1602,9558
5.3,45,100,22.682569575224942,2168,9558
5.3,60,25,4.58254865034526,438,9558
5.3,60,50,10.682151077631303,1021,9558
5.3,60,75,16.760828625235405,1602,9558
5.3,60,100,22.682569575224942,2168,9558
5.5,7,25,2.898095835948943,277,9558
5.5,7,50,7.585268884703914,725,9558
5.5,7,75,13.119899560577528,1254,9558
5.5,7,100,18.591755597405317,1777,9558
5.5,14,25,2.908558275789914,278,9558
5.5,14,50,7.689893283113622,735,9558
5.5,14,75,13.329148357396944,1274,9558
5.5,14,100,18.89516635279347,1806,9558
5.5,30,25,2.908558275789914,278,9558
5.5,30,50,7.689893283113622,735,9558
5.5,30,75,13.329148357396944,1274,9558
5.5,30,100,18.89516635279347,1806,9558
5.5,45,25,2.908558275789914,278,9558
5.5,45,50,7.689893283113622,735,9558
5.5,45,75,13.329148357396944,1274,9558
5.5,45,100,18.89516635279347,1806,9558
5.5,60,25,2.908558275789914,278,9558
5.5,60,50,7.689893283113622,735,9558
5.5,60,75,13.329148357396944,1274,9558
5.5,60,100,18.89516635279347,1806,9558
5.8,7,25,1.7576898932831135,168,9558
5.8,7,50,4.770872567482737,456,9558
5.8,7,75,8.91399874450722,852,9558
5.8,7,100,13.527934714375393,1293,9558
5.8,14,25,1.7576898932831135,168,9558
5.8,14,50,4.812722326846621,460,9558
5.8,14,75,9.01862314291693,862,9558
5.8,14,100,13.716258631512869,1311,9558
5.8,30,25,1.7576898932831135,168,9558
5.8,30,50,4.812722326846621,460,9558
5.8,30,75,9.01862314291693,862,9558
5.8,30,100,13.716258631512869,1311,9558
5.8,45,25,1.7576898932831135,168,9558
5.8,45,50,4.812722326846621,460,9558
5.8,45,75,9.01862314291693,862,9558
5.8,45,100,13.716258631512869,1311,9558
5.8,60,25,1.7576898932831135,168,9558
5.8,60,50,4.812722326846621,460,9558
5.8,60,75,9.01862314291693,862,9558
5.8,60,100,13.716258631512869,1311,9558
6.0,7,25,0.9311571458464113,89,9558
6.0,7,50,2.898095835948943,277,9558
6.0,7,75,5.764804352374974,551,9558
6.0,7,100,8.92446118434819,853,9558
6.0,14,25,0.9311571458464113,89,9558
6.0,14,50,2.939945595312827,281,9558
6.0,14,75,5.869428750784683,561,9558
6.0,14,100,9.112785101485667,871,9558
6.0,30,25,0.9311571458464113,89,9558
6.0,30,50,2.939945595312827,281,9558
6.0,30,75,5.869428750784683,561,9558
6.0,30,100,9.112785101485667,871,9558
6.0,45,25,0.9311571458464113,89,9558
6.0,45,50,2.939945595312827,281,9558
6.0,45,75,5.869428750784683,561,9558
6.0,45,100,9.112785101485667,871,9558
6.0,60,25,0.9311571458464113,89,9558
6.0,60,50,2.939945595312827,281,9558
6.0,60,75,5.869428750784683,561,9558
6.0,60,100,9.112785101485667,871,9558
