mag_threshold,time_window_days,spatial_radius_km,positive_rate_%,positive_count,total_count
5.0,7,25,0.4390700352695602,61,13893
5.0,7,50,0.640610379327719,89,13893
5.0,7,75,0.7845677679406896,109,13893
5.0,7,100,0.9069315482617145,126,13893
5.0,14,25,0.49665299071474844,69,13893
5.0,14,50,0.7557762902180954,105,13893
5.0,14,75,0.9789102425681997,136,13893
5.0,14,100,1.2164399337796012,169,13893
5.0,30,25,0.6478082487583675,90,13893
5.0,30,50,0.9717123731375513,135,13893
5.0,30,75,1.3388037141006262,186,13893
5.0,30,100,1.8642481825379686,259,13893
5.0,45,25,0.7701720290793925,107,13893
5.0,45,50,1.2308356726408982,171,13893
5.0,45,75,1.7778737493701864,247,13893
5.0,45,100,2.4976606924350393,347,13893
5.0,60,25,0.885337939969769,123,13893
5.0,60,50,1.4899589721442452,207,13893
5.0,60,75,2.123371482041316,295,13893
5.0,60,100,3.0303030303030303,421,13893
5.3,7,25,0.2231339523501044,31,13893
5.3,7,50,0.3311019938098323,46,13893
5.3,7,75,0.4030806881163176,56,13893
5.3,7,100,0.4606636435615058,64,13893
5.3,14,25,0.26632116893399554,37,13893
5.3,14,50,0.395882818685669,55,13893
5.3,14,75,0.49665299071474844,69,13893
5.3,14,100,0.5974231627438278,83,13893
5.3,30,25,0.3886849492550205,54,13893
5.3,30,50,0.5398402072986396,75,13893
5.3,30,75,0.7341826819261499,102,13893
5.3,30,100,0.9573166342762541,133,13893
5.3,45,25,0.4390700352695602,61,13893
5.3,45,50,0.6334125098970704,88,13893
5.3,45,75,0.8925358094004175,124,13893
5.3,45,100,1.1588569783344131,161,13893
5.3,60,25,0.5110487295760455,71,13893
5.3,60,50,0.762974159648744,106,13893
5.3,60,75,1.1084718923198733,154,13893
5.3,60,100,1.4251781472684086,198,13893
5.5,7,25,0.12236378032102496,17,13893
5.5,7,50,0.19434247462751025,27,13893
5.5,7,75,0.25192543007269846,35,13893
5.5,7,100,0.3023105160872382,42,13893
5.5,14,25,0.1295616497516735,18,13893
5.5,14,50,0.21593608291945585,30,13893
5.5,14,75,0.29511264665658965,41,13893
5.5,14,100,0.381487079824372,53,13893
5.5,30,25,0.2087382134888073,29,13893
5.5,30,50,0.3167062549485352,44,13893
5.5,30,75,0.45346577413085726,63,13893
5.5,30,100,0.640610379327719,89,13893
5.5,45,25,0.25192543007269846,35,13893
5.5,45,50,0.381487079824372,53,13893
5.5,45,75,0.5542359461599367,77,13893
5.5,45,100,0.7701720290793925,107,13893
5.5,60,25,0.29511264665658965,41,13893
5.5,60,50,0.4750593824228029,66,13893
5.5,60,75,0.6837975959116102,95,13893
5.5,60,100,0.9501187648456058,132,13893
5.8,7,25,0.06478082487583675,9,13893
5.8,7,50,0.1295616497516735,18,13893
5.8,7,75,0.1727488663355647,24,13893
5.8,7,100,0.2087382134888073,29,13893
5.8,14,25,0.0791765637371338,11,13893
5.8,14,50,0.1511552580436191,21,13893
5.8,14,75,0.2015403440581588,28,13893
5.8,14,100,0.259123299503347,36,13893
5.8,30,25,0.1295616497516735,18,13893
5.8,30,50,0.2087382134888073,29,13893
5.8,30,75,0.29511264665658965,41,13893
5.8,30,100,0.41027855754696607,57,13893
5.8,45,25,0.1511552580436191,21,13893
5.8,45,50,0.25192543007269846,35,13893
5.8,45,75,0.36709134096307494,51,13893
5.8,45,100,0.49665299071474844,69,13893
5.8,60,25,0.1727488663355647,24,13893
5.8,60,50,0.29511264665658965,41,13893
5.8,60,75,0.4246742964082632,59,13893
5.8,60,100,0.5758295544518822,80,13893
6.0,7,25,0.014395738861297056,2,13893
6.0,7,50,0.021593608291945586,3,13893
6.0,7,75,0.04318721658389117,6,13893
6.0,7,100,0.07197869430648528,10,13893
6.0,14,25,0.014395738861297056,2,13893
6.0,14,50,0.021593608291945586,3,13893
6.0,14,75,0.0503850860145397,7,13893
6.0,14,100,0.08637443316778234,12,13893
6.0,30,25,0.04318721658389117,6,13893
6.0,30,50,0.0503850860145397,7,13893
6.0,30,75,0.10796804145972792,15,13893
6.0,30,100,0.16555099690491615,23,13893
6.0,45,25,0.06478082487583675,9,13893
6.0,45,50,0.0791765637371338,11,13893
6.0,45,75,0.1583531274742676,22,13893
6.0,45,100,0.2231339523501044,31,13893
6.0,60,25,0.08637443316778234,12,13893
6.0,60,50,0.10796804145972792,15,13893
6.0,60,75,0.2015403440581588,28,13893
6.0,60,100,0.28071690779529257,39,13893
